,Species,"(0, 'go', 'reviewed')","(1, 'automatic', 'reviewed')","(1, 'manual', 'reviewed')"
422,Microcystis viridis,1,0,0
423,Micromonospora chalcea,1,0,0
424,Micromonospora echinofusca,2,0,0
425,Micromonospora echinospora,7,0,0
426,Micromonospora griseorubida,6,2,0
427,Micromonospora megalomicea,1,0,0
428,Micromonospora olivasterospora,4,0,0
429,Micromonospora rosea,2,0,0
430,Micromonospora sp.,3,0,0
431,Micromonospora viridifaciens,2,0,0
432,Micromonospora zionensis,1,0,0
433,Microtetraspora glauca,1,0,0
434,Moorella thermoacetica,291,124,0
435,Mycobacterium asiaticum,1,0,0
436,Mycobacterium avium,323,98,1
437,Mycobacterium bovis,1806,338,0
438,Mycobacterium celatum,1,0,0
439,Mycobacterium gastri,5,0,0
440,Mycobacterium genavense,1,0,0
441,Mycobacterium gordonae,3,2,0
442,Mycobacterium indicus,1,0,0
443,Mycobacterium intracellulare,13,4,0
444,Mycobacterium kansasii,7,0,0
445,Mycobacterium leprae,818,216,0
446,Mycobacterium lepraemurium,1,0,0
447,Mycobacterium malmoense,3,0,0
448,Mycobacterium marinum,298,90,0
449,Mycobacterium paratuberculosis,2,0,0
450,Mycobacterium scrofulaceum,3,0,0
451,Mycobacterium shimoidei,2,0,0
452,Mycobacterium simiae,1,0,0
453,Mycobacterium sp.,795,282,0
454,Mycobacterium szulgai,1,2,0
455,Mycobacterium tuberculosis,4465,408,35
456,Mycobacterium ulcerans,299,98,0
457,Mycobacterium xenopi,3,0,0
458,Mycobacteroides abscessus,196,82,0
459,Mycobacteroides chelonae,3,0,0
460,Mycolicibacter nonchromogenicus,1,0,0
461,Mycolicibacterium agri,1,0,0
462,Mycolicibacterium aurum,1,0,0
463,Mycolicibacterium austroafricanum,2,0,0
464,Mycolicibacterium chitae,2,0,0
465,Mycolicibacterium fallax,2,0,0
466,Mycolicibacterium flavescens,2,0,0
467,Mycolicibacterium fortuitum,14,2,0
468,Mycolicibacterium gilvum,237,92,0
469,Mycolicibacterium goodii,8,0,0
470,Mycolicibacterium hassiacum,3,0,0
471,Mycolicibacterium neoaurum,2,0,0
472,Mycolicibacterium parafortuitum,1,0,0
473,Mycolicibacterium paratuberculosis,391,124,0
474,Mycolicibacterium peregrinum,1,0,0
475,Mycolicibacterium phlei,5,0,0
476,Mycolicibacterium pulveris,1,0,0
477,Mycolicibacterium rhodesiae,1,0,0
478,Mycolicibacterium smegmatis,587,120,1
479,Mycolicibacterium thermoresistibile,5,0,0
480,Mycolicibacterium vaccae,1,0,0
481,Mycolicibacterium vanbaalenii,283,92,0
482,Mycoplasma capricolum,136,102,0
483,Mycoplasma genitalium,411,108,23
484,Mycoplasma mycoides,126,102,0
485,Mycoplasma pneumoniae,612,148,0
486,Mycoplasma sp,5,6,0
487,Mycoplasmoides gallisepticum,142,104,0
488,Mycoplasmoides pirum,6,0,0
489,Mycoplasmoides pneumoniae,2,2,0
490,Mycoplasmopsis agalactiae,60,68,0
491,Mycoplasmopsis arginini,1,0,0
492,Mycoplasmopsis bovis,1,0,0
493,Mycoplasmopsis fermentans,5,4,0
494,Mycoplasmopsis pulmonis,153,102,0
495,Mycoplasmopsis synoviae,84,94,0
496,Nakamurella multipartita,9,0,0
497,Natranaerobius thermophilus,163,110,0
498,Niallia circulans,37,2,0
499,Nocardia asteroides,3,0,0
500,Nocardia brasiliensis,1,0,0
501,Nocardia farcinica,334,120,0
502,Nocardia globerula,1,0,0
503,Nocardia iowensis,2,0,0
504,Nocardia uniformis,4,0,0
505,Nocardioides simplex,2,0,0
506,Nocardioides sp.,202,88,0
507,Nocardiopsis dassonvillei,5,0,0
508,Nodularia spumigena,1,0,0
509,Nostoc commune,8,0,0
510,Nostoc ellipsosporum,2,0,0
511,Nostoc linckia,1,0,0
512,Nostoc punctiforme,283,90,0
513,Nostoc sp.,661,132,0
514,Oceanobacillus iheyensis,480,146,0
515,Oenococcus oeni,166,90,0
516,Olsenella uli,1,0,0
517,Onion yellows,86,104,0
518,Paenarthrobacter aurescens,176,78,0
519,Paenarthrobacter nicotinovorans,21,0,0
520,Paenarthrobacter nitroguajacolicus,1,0,0
521,Paenarthrobacter ureafaciens,4,0,0
522,Paenibacillus alvei,4,0,0
523,Paenibacillus amylolyticus,2,0,0
524,Paenibacillus barcinonensis,7,0,0
525,Paenibacillus durus,2,0,0
526,Paenibacillus harenae,1,0,0
527,Paenibacillus larvae,4,0,0
528,Paenibacillus lautus,3,0,0
529,Paenibacillus lemnae,1,0,0
530,Paenibacillus macerans,5,0,0
531,Paenibacillus macquariensis,1,0,0
532,Paenibacillus polymyxa,17,0,0
533,Paenibacillus popilliae,3,0,0
534,Paenibacillus sp,2,0,0
535,Paenibacillus sp.,9,0,0
536,Paenibacillus thiaminolyticus,2,0,0
537,Paenibacillus xerothermodurans,1,0,0
538,Paenibacillus xylanexedens,1,0,0
539,Paeniclostridium sordellii,9,0,0
540,Paraclostridium bifermentans,10,0,0
541,Parageobacillus thermoglucosidasius,8,0,0
542,Parascardovia denticolens,1,0,0
543,Parasynechococcus marenigrum,365,108,0
544,Pasteuria penetrans,1,0,0
545,Peanut witches'-broom,2,0,0
546,Pectinatus frisingensis,1,0,0
547,Pediococcus acidilactici,9,0,0
548,Pediococcus pentosaceus,220,112,0
549,Pelotomaculum thermopropionicum,198,104,0
550,Peptoclostridium acidaminophilum,24,0,0
551,Peptoclostridium litorale,4,0,0
552,Peptococcus niger,1,0,0
553,Peptoniphilus asaccharolyticus,5,0,0
554,Peribacillus psychrosaccharolyticus,3,0,0
555,Peterkaempfera griseoplana,1,0,0
556,Phormidium laminosum,6,0,0
557,Phormidium lapideum,1,0,0
558,Phytoplasma australiense,46,72,0
559,Phytoplasma mali,44,62,0
560,Phytoplasma sp.,0,14,0
561,Phytoplasma vitis,0,2,0
562,Pigeon pea,0,4,0
563,Pimelobacter sp.,1,0,0
564,Planktothrix agardhii,4,0,0
565,Planktothrix rubescens,1,0,0
566,Planobispora rosea,3,4,0
567,Planococcus maritimus,1,0,0
568,Planococcus sp.,2,0,0
569,Planomicrobium okeanokoites,2,0,0
570,Planomonospora venezuelensis,1,0,0
571,Priestia aryabhattai,3,0,0
572,Priestia megaterium,96,4,0
573,Prochlorococcus marinus,3337,1160,0
574,Prochloron didemni,3,0,0
575,Prochloron sp,1,0,0
576,Prochlorothrix hollandica,20,0,0
577,Propionibacterium freudenreichii,19,0,0
578,Propioniciclava tarda,2,0,0
579,Prunus armeniaca,0,4,0
580,Pseudanabaena galeata,3,0,0
581,Pseudanabaena sp.,2,2,0
582,Pseudanabaena tenuis,12,0,0
583,Pseudarthrobacter chlorophenolicus,144,66,0
584,Pseudarthrobacter oxydans,1,0,0
585,Pseudarthrobacter phenanthrenivorans,2,0,0
586,Pseudobutyrivibrio xylanivorans,1,0,0
587,Pseudofrankia inefficax,2,0,0
588,Pseudonocardia autotrophica,1,0,0
589,Pseudonocardia dioxanivorans,3,0,0
590,Pseudonocardia thermophila,2,0,0
591,Rarobacter faecitabidus,1,0,0
592,Rathayibacter rathayi,1,0,0
593,Renibacterium salmoninarum,129,56,0
594,Rhodococcus erythropolis,234,78,0
595,Rhodococcus fascians,12,0,0
596,Rhodococcus globerulus,6,0,0
597,Rhodococcus hoagii,6,0,0
598,Rhodococcus jostii,307,102,0
599,Rhodococcus opacus,204,80,0
600,Rhodococcus rhodochrous,19,0,0
601,Rhodococcus sp,11,0,0
602,Rhodococcus sp.,12,0,0
603,Rippkaea orientalis,219,84,0
604,Roseburia hominis,1,2,0
605,Roseiflexus castenholzii,168,90,0
606,Roseiflexus sp.,185,96,0
607,Rothia mucilaginosa,8,0,0
608,Rubrobacter xylanophilus,199,92,0
609,Rubus stunt,0,2,0
610,Ruminiclostridium cellobioparum,1,0,0
611,Ruminiclostridium cellulolyticum,170,78,0
612,Ruminiclostridium hungatei,3,0,0
613,Ruminiclostridium josui,6,0,0
614,Ruminococcus albus,12,0,0
615,Ruminococcus flavefaciens,19,0,0
616,Ruminococcus gnavus,7,0,0
617,Saccharibacillus brassicae,1,0,0
618,Saccharomonospora viridis,8,0,0
619,Saccharopolyspora erythraea,239,94,0
620,Saccharopolyspora hirsuta,1,0,0
621,Saccharopolyspora spinosa,5,0,0
622,Saccharothrix espanaensis,1,0,0
623,Saccharothrix mutabilis,1,0,0
624,Saccharothrix syringae,1,0,0
625,Salinispora arenicola,165,88,0
626,Salinispora tropica,165,84,0
627,Salipaludibacillus agaradhaerens,2,0,0
628,Sanguibacter keddieii,8,0,0
629,Scardovia inopinata,1,0,0
630,Schinkia azotoformans,2,0,0
631,Scytonema varium,1,0,0
632,Sedimentibacter hydroxybenzoicus,4,0,0
633,Segniliparus rotundus,5,0,0
634,Segniliparus rugosus,1,0,0
635,Selenomonas ruminantium,7,4,0
636,Shouchella clausii,435,132,0
637,Sinomonas sp.,1,0,0
638,Slackia exigua,1,0,0
639,Slackia heliotrinireducens,1,0,0
640,Solibacillus silvestris,1,0,0
641,Sphaerobacter thermophilus,6,0,0
642,Spiroplasma apis,1,0,0
643,Spiroplasma citri,24,24,0
644,Spiroplasma kunkelii,8,30,0
645,Spiroplasma melliferum,2,0,0
646,Spiroplasma monobiae,1,0,0
647,Spirulina sp,2,0,0
648,Spirulina sp.,2,0,0
649,Sporosarcina globispora,2,0,0
650,Sporosarcina pasteurii,11,0,0
651,Sporosarcina psychrophila,2,0,0
652,Sporosarcina ureae,4,0,0
653,Stackebrandtia nassauensis,7,0,0
654,Staphylococcus aureus,9272,1890,32
655,Staphylococcus capitis,2,0,0
656,Staphylococcus carnosus,300,110,0
657,Staphylococcus cohnii,3,0,0
658,Staphylococcus epidermidis,1424,298,2
659,Staphylococcus gallinarum,1,0,0
660,Staphylococcus haemolyticus,555,142,0
661,Staphylococcus hominis,2,0,0
662,Staphylococcus hyicus,5,0,0
663,Staphylococcus intermedius,5,0,0
664,Staphylococcus lugdunensis,3,0,0
665,Staphylococcus pseudintermedius,3,0,0
666,Staphylococcus saprophyticus,534,142,0
667,Staphylococcus simulans,3,0,0
668,Staphylococcus sp,1,0,0
669,Staphylococcus sp.,2,0,0
670,Staphylococcus staphylolyticus,1,0,0
671,Staphylococcus ureilyticus,3,0,0
672,Staphylococcus warneri,4,2,0
673,Staphylococcus xylosus,39,2,0
674,Streptacidiphilus jiangxiensis,1,0,0
675,Streptantibioticus cattleyicolor,13,0,0
676,Streptoalloteichus hindustanus,2,0,0
